Epoch,Training Loss,Validation Loss,Alpha
1,1.9077828024708947,1.0058466833691264,0.8
2,0.6697642661804377,0.4755741465923398,0.8
3,0.45508547550023987,0.32463521136100904,0.8
4,0.3378279408743215,0.2977929881665596,0.8
5,0.3001807778034099,0.32270481804775636,0.8
6,0.24819051110467247,0.11532388792134994,0.8
7,0.22973355108568835,0.19500471694871438,0.8
8,0.19318873095651007,0.11976983137428761,0.8
9,0.18958861820053222,0.25171074454867565,0.8
10,0.18674265011105426,0.12152493627698616,0.8
11,0.16776851289147554,0.14507146859758122,0.8
12,0.14354336684093225,0.10999709736382546,0.8
13,0.1568314954378577,0.09990222377182786,0.8
14,0.1327030432432197,0.07324702443425045,0.8
15,0.11310485521288112,0.13408432314822147,0.8
16,0.11829197453984687,0.16753594542658606,0.8
17,0.1009020529210914,0.10834476881292324,0.8
18,0.1013375396212173,0.10861299954961205,0.8
19,0.07969470050099284,0.06709395685601373,0.8
20,0.0851064339626667,0.06512883659235613,0.8
21,0.0855286234881469,0.07834449269440631,0.8
22,0.0867169245666023,0.06604502010321635,0.8
23,0.0888400077906459,0.0332780827500121,0.8
24,0.07218765557180484,0.08533491911204141,0.8
25,0.07223575161011933,0.06615631881678953,0.8
26,0.06536632749836806,0.038378596417118556,0.8
27,0.059411441703695195,0.0511444378173152,0.8
28,0.06326030334782635,0.059645754437850314,0.8
29,0.06637834141269153,0.118485457895237,0.8
30,0.05851942810858058,0.03840636423068814,0.8
31,0.040738374432332296,0.0331195802157095,0.8
32,0.054654472241676307,0.06713864407826994,0.8
33,0.060823287155349244,0.09429416478243331,0.8
34,0.061143629396940735,0.04411417048364921,0.8
35,0.04762786292568456,0.041459937159751735,0.8
36,0.04304810887809063,0.11464877456513255,0.8
37,0.043260095352956725,0.04333001591872998,0.8
38,0.044543250513988615,0.04179037632014559,0.8
39,0.04009593920782208,0.03624247623090416,0.8
40,0.03599852711168053,0.04944596336328771,0.8
41,0.022001755641378073,0.033914998003253226,0.8
42,0.043927481839281704,0.07663144620113768,0.8
43,0.027415001821070692,0.030400988404704378,0.8
44,0.013782320278060492,0.028221796340847843,0.8
45,0.012083312032099943,0.030040735220600887,0.8
46,0.010936445147638361,0.026378040676523638,0.8
47,0.009485361515815088,0.02833240841498272,0.8
48,0.009669636767885518,0.028514395252340216,0.8
49,0.008023513633782196,0.027271479645829926,0.8
50,0.008653753249212926,0.027016529693414774,0.8
51,0.006948913678832807,0.030377958766287117,0.8
52,0.007339103553013681,0.03125261379040197,0.8
53,0.00756548140211529,0.031055375818264005,0.8
54,0.00783033002473192,0.030928647609686968,0.8
55,0.006949557171191013,0.030556894482021542,0.8
56,0.007410507111642293,0.03157401231718575,0.8
57,0.0073286524396470945,0.02938762075509869,0.8
58,0.004603781255955678,0.030730171570597355,0.8
59,0.0064071310037370705,0.03087414973061789,0.8
60,0.005637573742518894,0.028586661580058802,0.8
61,0.006444289416161387,0.02918587314548055,0.8
62,0.0060985142228039265,0.02962136896190333,0.8
63,0.00492605576325522,0.02948959346798759,0.8
64,0.006026109985717529,0.028366118515822204,0.8
65,0.00448658762159243,0.02974936413287397,0.8
66,0.006085168473239105,0.02951625539773759,0.8
