Epoch,Training Loss,Validation Loss,Alpha
1,3.6706288269587923,3.4818420955113,1.0
2,2.987027018410819,2.6093544823782784,1.0
3,2.6435959747859408,2.406924162592207,1.0
4,2.4042435850415913,2.250560470989772,1.0
5,2.236544632911682,1.9344068186623709,1.0
6,2.0039125646863667,1.8694631951195853,1.0
7,1.8866728612354824,1.6413051468985422,1.0
8,1.7405631576265608,1.9400052888052803,1.0
9,1.6369086231504169,1.4066329751695905,1.0
10,1.571879666192191,1.3643398523330688,1.0
11,1.53182589667184,1.2432606322424753,1.0
12,1.4129625797271728,1.1875580208642142,1.0
13,1.3123572724206107,1.1771489654268537,1.0
14,1.3405355862208774,1.196014678478241,1.0
15,1.2150680576051984,1.0601699692862374,1.0
16,1.146778462614332,0.9391732863017491,1.0
17,1.1058890121323721,0.8580068554197039,1.0
18,1.0699202963284085,1.0885254553386143,1.0
19,1.0088994247572762,0.9801074045045035,1.0
20,0.9851682083947318,0.8439174209322248,1.0
21,0.9142321978296553,0.8349776932171413,1.0
22,0.8925188081605094,0.8077028896127428,1.0
23,0.8646956784384591,0.8265790905271257,1.0
24,0.796185496875218,0.822441759279796,1.0
25,0.7630028315952846,0.6707074114254543,1.0
26,0.7194334268569946,0.7029913936342512,1.0
27,0.735657992533275,0.6486639380455017,1.0
28,0.7099546160016741,0.7766321693147932,1.0
29,0.6687941006251744,0.6689140055860792,1.0
30,0.5888809595789228,0.5372389414480754,1.0
31,0.5896247148513794,0.6295139849185943,1.0
32,0.5978041308266776,0.559502426641328,1.0
33,0.6309431378330503,0.5584603777953556,1.0
34,0.605558831351144,0.712712618282863,1.0
35,0.5664687011923109,0.6209719598293304,1.0
36,0.5319773316383362,0.6769192934036254,1.0
37,0.5396250980240959,0.4842228335993631,1.0
38,0.46277460328170233,0.48408004556383405,1.0
39,0.604851256098066,0.6402810492685863,1.0
40,0.5607362474714007,0.5289259433746338,1.0
41,0.4964605808258057,0.5723402976989747,1.0
42,0.47014672926494055,0.4855724952050618,1.0
43,0.4405828343970435,0.4964249964271273,1.0
44,0.4094342942748751,0.4848421326705388,1.0
45,0.4202167706830161,0.5169869818857737,1.0
46,0.4181210019758769,0.5310032112257821,1.0
47,0.3256747705595834,0.49061356995786937,1.0
48,0.3596098686967577,0.42946024260350635,1.0
49,0.37005017697811127,0.46605363403047834,1.0
50,0.36411726304462977,0.571933713555336,1.0
51,0.3797679509435381,0.5031884693673678,1.0
52,0.34769729311977116,0.5371775418519974,1.0
53,0.32412296554871967,0.3961915752717427,1.0
54,0.3248088591865131,0.4492081280265536,1.0
55,0.30893961702074324,0.4488439400281225,1.0
56,0.3459761393921716,0.3953256421855518,1.0
57,0.33334926579679763,0.47068285367318563,1.0
58,0.33860157089573995,0.47306806551558633,1.0
59,0.33341472915240694,0.5329697634492602,1.0
60,0.3873315934623991,0.5047954054815429,1.0
61,0.3345780779208456,0.4567836433649063,1.0
62,0.29060446172952653,0.5606655665806362,1.0
63,0.2526490645749228,0.3616922834089824,1.0
64,0.27523874321154185,0.37785441247480256,1.0
65,0.2671805030533246,0.4389886709196227,1.0
66,0.260675681914602,0.465483871953828,1.0
67,0.2786535071475165,0.4690500008208411,1.0
68,0.26938576208693643,0.3956712175692831,1.0
69,0.19800946031297956,0.43010679015091485,1.0
70,0.2244399111185755,0.4435366415551731,1.0
71,0.16992263666221075,0.40377811746937886,1.0
72,0.20809533574751446,0.4582691233072962,1.0
73,0.19433707360710417,0.36214061571019035,1.0
74,0.1835647885288511,0.6846530088356563,1.0
75,0.1771189750305244,0.34159467443823816,1.0
76,0.11632187494209835,0.307618425147874,1.0
77,0.10517330052597182,0.2898266782718045,1.0
78,0.10243414837334837,0.2846892456391028,1.0
79,0.08074247177158084,0.2873967334628105,1.0
80,0.0766226195863315,0.27848271700952737,1.0
81,0.07150678150355816,0.28035128441240104,1.0
82,0.08166876307555608,0.2821285753377846,1.0
83,0.06093823622379984,0.2901846498250961,1.0
84,0.07069412501794951,0.28936096216951096,1.0
85,0.06026607028075627,0.28259159635220255,1.0
86,0.06048878234411989,0.26583495568484067,1.0
87,0.05355337424469846,0.27792873190982004,1.0
88,0.057593078006591115,0.28933224473148583,1.0
89,0.04994171889764922,0.2751866182578461,1.0
90,0.05440015069075993,0.2867780084056514,1.0
91,0.06120549264763083,0.2875009327328631,1.0
92,0.052400274015963075,0.2917806708120874,1.0
93,0.04373520841555936,0.2961201164871454,1.0
94,0.04671508861439569,0.2944556184113026,1.0
95,0.05105342119932175,0.2876709818573935,1.0
96,0.05016723168747766,0.2900947336772723,1.0
97,0.04607000853866339,0.2841797392017075,1.0
98,0.038983283883758955,0.2849403716357691,1.0
99,0.04744599807475294,0.28077931414757457,1.0
100,0.038961677625775334,0.2809913255540388,1.0
