                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.7367,                 1.4341,                0.63097,                 1.1567,                0.92756,                0.83932,                0.87351,                 0.7474,                0.89981,                0.82105,                 0.8371,                0.64744,                0.62607,                 1.1383,                0.53614,                0.96354,               0.009241,               0.009241,               0.009241
                     26,                 0.7279,                 1.4285,                0.62314,                 1.1516,                0.91578,                0.85042,                0.87479,                0.74793,                0.89977,                0.82426,                0.84189,                0.65394,                0.62044,                 1.1218,                 0.5255,                0.96047,               0.009208,               0.009208,               0.009208
                     27,                0.72278,                 1.4243,                0.61855,                  1.143,                0.92336,                0.84057,                 0.8737,                0.74929,                0.90293,                0.80952,                0.83369,                0.65399,                0.61829,                 1.1081,                0.52525,                0.96109,               0.009175,               0.009175,               0.009175
                     28,                0.71338,                 1.4021,                0.60588,                  1.134,                0.92973,                0.84361,                0.87723,                0.75467,                0.90304,                 0.8188,                0.84237,                0.66145,                0.60072,                 1.1007,                0.51665,                0.94619,               0.009142,               0.009142,               0.009142
                     29,                0.70703,                 1.3789,                0.59697,                 1.1318,                0.93454,                0.84914,                0.88054,                 0.7608,                0.90938,                0.82689,                0.84708,                0.66446,                 0.5952,                 1.0804,                0.49365,                0.94359,               0.009109,               0.009109,               0.009109
                     30,                0.70343,                 1.3765,                0.59651,                 1.1288,                0.92856,                0.84806,                0.87541,                0.75384,                0.90694,                0.82447,                0.84347,                0.66474,                 0.5949,                 1.0741,                0.50047,                 0.9431,               0.009076,               0.009076,               0.009076
                     31,                 0.6997,                 1.3748,                0.59215,                 1.1236,                0.92727,                 0.8494,                0.87672,                0.75952,                  0.906,                0.82949,                0.84278,                0.66222,                0.58716,                 1.0615,                0.49465,                0.93735,               0.009043,               0.009043,               0.009043
                     32,                0.69506,                  1.358,                0.58422,                 1.1235,                0.92716,                0.85341,                0.87778,                0.76145,                0.90404,                0.82695,                0.84192,                 0.6675,                0.57537,                  1.054,                0.48094,                0.92684,                0.00901,                0.00901,                0.00901
                     33,                0.69391,                 1.3577,                 0.5852,                 1.1176,                0.93047,                0.85141,                0.87839,                0.76178,                0.90677,                0.82801,                0.84276,                0.66785,                0.57246,                 1.0438,                0.48917,                0.92479,               0.008977,               0.008977,               0.008977
                     34,                0.69153,                  1.354,                0.58161,                 1.1166,                0.92325,                0.85734,                0.88001,                0.76637,                0.89871,                0.83358,                0.84604,                0.66712,                0.56429,                  1.032,                 0.4811,                0.92102,               0.008944,               0.008944,               0.008944
                     35,                0.68035,                 1.3131,                0.57218,                 1.1075,                0.93348,                0.85067,                0.87727,                0.76618,                0.91993,                0.82643,                0.84612,                0.66724,                0.56613,                 1.0243,                0.47476,                0.92376,               0.008911,               0.008911,               0.008911
