Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,7.62848390851702,7.43708689553397,0.0,1.0,1.0,1.0,1.0
2,6.275881617409842,5.711781365530832,0.0,1.0,1.0,1.0,1.0
3,5.356110409327916,4.740421342849731,0.0,1.0,1.0,1.0,1.0
4,4.763913304465158,4.828609275817871,0.0,1.0,1.0,1.0,1.0
5,4.24786125591823,3.8915692670004707,0.0,1.0,1.0,1.0,1.0
6,3.901199041094099,3.565217011315482,0.0,1.0,1.0,1.0,1.0
7,3.4411343710763114,2.9145202704838344,0.0,1.0,1.0,1.0,1.0
8,3.0894574710300993,2.4250390189034596,0.0,1.0,1.0,1.0,1.0
9,2.624929278237479,1.9405376740864344,0.0,1.0,1.0,1.0,1.0
10,2.2360499177660262,1.9059373957770211,0.0,1.0,1.0,1.0,1.0
11,1.9710161413465228,1.3165884443691798,0.0,1.0,1.0,1.0,1.0
12,1.8264683893748692,1.2272994007383073,0.0,1.0,1.0,1.0,1.0
13,1.6013130869184222,0.9297482916287013,0.0,1.0,1.0,1.0,1.0
14,1.3788848859923226,0.965812383379255,0.0,1.0,1.0,1.0,1.0
15,1.1717563050133841,0.6763850688934326,0.0,1.0,1.0,1.0,1.0
16,1.1259474073137556,0.6757960975170135,0.0,1.0,1.0,1.0,1.0
17,1.0299951885427747,0.7440025976725987,0.0,1.0,1.0,1.0,1.0
18,0.9970725417137146,0.5752060264348984,0.0,1.0,1.0,1.0,1.0
19,0.890063498701368,0.7495686871664865,0.0,1.0,1.0,1.0,1.0
20,0.8210464451994215,0.5586211664336068,0.0,1.0,1.0,1.0,1.0
21,0.7735155403614045,0.4345246214951788,0.0,1.0,1.0,1.0,1.0
22,0.6754958152770996,0.46622115331036706,0.0,1.0,1.0,1.0,1.0
23,0.730137768813542,0.5457206964492798,0.0,1.0,1.0,1.0,1.0
24,0.6100544439894813,0.4061283441526549,0.0,1.0,1.0,1.0,1.0
25,0.6600149307932173,0.34374287490333827,0.0,1.0,1.0,1.0,1.0
26,0.5619571587869099,0.3865943104028702,0.0,1.0,1.0,1.0,1.0
27,0.47234491535595485,0.3147434057933944,0.0,1.0,1.0,1.0,1.0
28,0.47369071798665185,0.29928058066538404,0.0,1.0,1.0,1.0,1.0
29,0.47726172293935504,0.6465145485741751,0.0,1.0,1.0,1.0,1.0
30,0.4163016502346311,0.21938218506319182,0.0,1.0,1.0,1.0,1.0
31,0.4046555129545076,0.2840929392193045,0.0,1.0,1.0,1.0,1.0
32,0.3494837369237627,0.418746920515384,0.0,1.0,1.0,1.0,1.0
33,0.49519125989505225,0.3660336723285062,0.0,1.0,1.0,1.0,1.0
34,0.3370307432753699,0.3207746661667313,0.0,1.0,1.0,1.0,1.0
35,0.31966664642095566,0.2973109371960163,0.0,1.0,1.0,1.0,1.0
36,0.3447812165532793,0.36307995479021754,0.0,1.0,1.0,1.0,1.0
37,0.28589933599744527,0.2614486727331366,0.0,1.0,1.0,1.0,1.0
38,0.3033996948174068,0.28941343418721643,0.0,1.0,1.0,1.0,1.0
39,0.32466174087354116,0.3116034715303353,0.0,1.0,1.0,1.0,1.0
40,0.3277634244944368,0.3710375396800893,0.0,1.0,1.0,1.0,1.0
41,0.2842673987150192,0.28264488450118475,0.0,1.0,1.0,1.0,1.0
42,0.22726687267422677,0.22480245953691858,0.0,1.0,1.0,1.0,1.0
43,0.1615518470960004,0.2065612827028547,0.0,1.0,1.0,1.0,1.0
44,0.12236476838588714,0.21105182161554695,0.0,1.0,1.0,1.0,1.0
45,0.17448745210255895,0.20890130787821753,0.0,1.0,1.0,1.0,1.0
46,0.14619096666574477,0.2108595184848777,0.0,1.0,1.0,1.0,1.0
47,0.1054960242339543,0.2100016136387629,0.0,1.0,1.0,1.0,1.0
48,0.11269271991082601,0.21052770265378057,0.0,1.0,1.0,1.0,1.0
49,0.11465185135602951,0.20400556597326483,0.0,1.0,1.0,1.0,1.0
50,0.11839836282389504,0.18946831662740027,0.0,1.0,1.0,1.0,1.0
51,0.09664439974086625,0.18757807364953416,0.0,1.0,1.0,1.0,1.0
52,0.07350317324910845,0.18411705400129513,0.0,1.0,1.0,1.0,1.0
53,0.09465148613921233,0.20544851530077202,0.0,1.0,1.0,1.0,1.0
54,0.09280118186558996,0.1920298189723066,0.0,1.0,1.0,1.0,1.0
55,0.06874226826642241,0.19923581606043236,0.0,1.0,1.0,1.0,1.0
56,0.07700180570994104,0.20077929639789674,0.0,1.0,1.0,1.0,1.0
57,0.08918305571590152,0.20060713372326322,0.0,1.0,1.0,1.0,1.0
58,0.07148764064269407,0.19809706745935338,0.0,1.0,1.0,1.0,1.0
59,0.07941549947219236,0.19013349656015635,0.0,1.0,1.0,1.0,1.0
60,0.05639993234404496,0.1877039183463369,0.0,1.0,1.0,1.0,1.0
61,0.051684957476598875,0.18526716982014477,0.0,1.0,1.0,1.0,1.0
62,0.05927102565765381,0.19077318195652748,0.0,1.0,1.0,1.0,1.0
63,0.07572733046753066,0.18370228792274637,0.0,1.0,1.0,1.0,1.0
64,0.06122662153627191,0.17467760220835252,0.0,1.0,1.0,1.0,1.0
65,0.07873280463474137,0.18596664109999048,0.0,1.0,1.0,1.0,1.0
66,0.04877509464110647,0.1866439779688205,0.0,1.0,1.0,1.0,1.0
67,0.052141653586711204,0.1816685031168163,0.0,1.0,1.0,1.0,1.0
