Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,3.1771216596875873,2.3519989967346193,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
2,2.187906861305237,1.5708373819078718,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
3,1.7851321356637138,1.211468289579664,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
4,1.4002296379634311,1.0368970394134522,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
5,1.2025824870382036,0.7789824894496373,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
6,1.170234591620309,0.6737180846078056,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
7,0.9352030481610979,0.5480359988553184,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
8,0.9027247445923942,0.5187192440032959,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
9,0.7776761259351458,0.4690064515386309,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
10,0.7486286469868251,0.4374815949371883,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
11,0.6862545115607125,0.43003684963498795,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
12,0.5963680948529925,0.31894107375826153,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
13,0.543552451474326,0.2635539608342307,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
14,0.5602804405348641,0.23454731404781343,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
15,0.5847273460456304,0.3011630905526025,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
16,0.5164725482463837,0.26134680339268274,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
17,0.4465624613421304,0.1983652338385582,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
18,0.4450038662978581,0.3130832531622478,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
19,0.4459482150418418,0.2309979232294219,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
20,0.36008472400052205,0.22126003823110035,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
21,0.3371982753276825,0.16524615181343896,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
22,0.36118150779179165,0.16099061391183309,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
23,0.36215969920158386,0.1327636637857982,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
24,0.3898571831839425,0.1396354615688324,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
25,0.3358493268489838,0.19299146543656076,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
26,0.3171032283987318,0.13992258416754857,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
27,0.32350367094789234,0.14078409501484462,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
28,0.28287335229771476,0.15029245327625956,1.0,0.049787066876888275,0.1353352814912796,0.3678794801235199,1.0
