Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,6.451135490879868,5.394993767593846,0.0,1.0,1.0,1.0,1.0
2,4.317435640277284,3.4416885953960996,0.0,1.0,1.0,1.0,1.0
3,3.45895689906496,2.943664399060336,0.0,1.0,1.0,1.0,1.0
4,2.987678874622692,2.424132325432517,0.0,1.0,1.0,1.0,1.0
5,2.761454372694998,2.2373062191587505,0.0,1.0,1.0,1.0,1.0
6,2.410238594719858,1.955606789299936,0.0,1.0,1.0,1.0,1.0
7,2.295187386599454,1.8013703967585708,0.0,1.0,1.0,1.0,1.0
8,2.130209041364265,1.7374461022290317,0.0,1.0,1.0,1.0,1.0
9,2.154522444262649,1.5763225320613745,0.0,1.0,1.0,1.0,1.0
10,1.9538419391169692,1.6764480887037334,0.0,1.0,1.0,1.0,1.0
11,1.9104026556015015,1.4620780276529717,0.0,1.0,1.0,1.0,1.0
12,1.860351360205448,1.3538167404405999,0.0,1.0,1.0,1.0,1.0
13,1.6841369289340395,1.4759218855337664,0.0,1.0,1.0,1.0,1.0
14,1.5716324593081619,1.3727304863207268,0.0,1.0,1.0,1.0,1.0
15,1.6080943020907315,1.334422382441434,0.0,1.0,1.0,1.0,1.0
16,1.6011990453257705,1.2506223375147039,0.0,1.0,1.0,1.0,1.0
17,1.6114445419022532,1.278979763840184,0.0,1.0,1.0,1.0,1.0
18,1.5280611063494827,1.3589416941006978,0.0,1.0,1.0,1.0,1.0
19,1.426116022196683,1.2255183133212002,0.0,1.0,1.0,1.0,1.0
20,1.432350178559621,1.1985891009822036,0.0,1.0,1.0,1.0,1.0
21,1.3711440852194121,1.2189151247342427,0.0,1.0,1.0,1.0,1.0
22,1.3782781199975447,1.1421678517804001,0.0,1.0,1.0,1.0,1.0
23,1.4327051838239033,1.154546062151591,0.0,1.0,1.0,1.0,1.0
24,1.429321867046934,1.2907983308488673,0.0,1.0,1.0,1.0,1.0
25,1.4051568417838125,1.1518192977616282,0.0,1.0,1.0,1.0,1.0
26,1.3600885398460156,1.1311913882241105,0.0,1.0,1.0,1.0,1.0
27,1.2454186407002537,1.0839503895152698,0.0,1.0,1.0,1.0,1.0
28,1.331229415806857,1.1921429056109805,0.0,1.0,1.0,1.0,1.0
29,1.17223577969002,1.0841595349889812,0.0,1.0,1.0,1.0,1.0
30,1.1513312097751733,1.0825912229942554,0.0,1.0,1.0,1.0,1.0
31,1.2262078595883918,1.1450478886113022,0.0,1.0,1.0,1.0,1.0
32,1.1623259313178784,1.1041832773974447,0.0,1.0,1.0,1.0,1.0
33,1.0694948064558434,1.0399163789821393,0.0,1.0,1.0,1.0,1.0
34,1.071858944314899,1.0545352986364653,0.0,1.0,1.0,1.0,1.0
35,1.0748631665200898,1.104552767493508,0.0,1.0,1.0,1.0,1.0
36,1.132185155695135,1.2215334664691577,0.0,1.0,1.0,1.0,1.0
37,1.055288662513097,1.0558187347469907,0.0,1.0,1.0,1.0,1.0
38,1.120739940441016,1.022884276780215,0.0,1.0,1.0,1.0,1.0
39,0.9270221410375653,1.0198501384619512,0.0,1.0,1.0,1.0,1.0
40,0.9389865849957322,0.9668602600242152,0.0,1.0,1.0,1.0,1.0
41,1.0680118916612682,1.0127133998003872,0.0,1.0,1.0,1.0,1.0
42,0.9282490692355416,0.9962416724725203,0.0,1.0,1.0,1.0,1.0
43,1.032895081874096,1.0955611891818768,0.0,1.0,1.0,1.0,1.0
44,1.113870093316743,1.0661570502049995,0.0,1.0,1.0,1.0,1.0
45,1.0063968427253491,0.9586800756779584,0.0,1.0,1.0,1.0,1.0
46,0.8166007354403987,0.9062081078688303,0.0,1.0,1.0,1.0,1.0
47,0.8778994769761057,1.065360890193419,0.0,1.0,1.0,1.0,1.0
48,0.9956687038595026,1.0133669990481753,0.0,1.0,1.0,1.0,1.0
49,0.8969569576509071,0.9457884376699274,0.0,1.0,1.0,1.0,1.0
50,0.7966274944218722,0.9406947484522155,0.0,1.0,1.0,1.0,1.0
51,0.8635114630063375,0.9000485363331708,0.0,1.0,1.0,1.0,1.0
52,0.7867176017977975,1.0335938424775095,0.0,1.0,1.0,1.0,1.0
53,0.8313446559689261,1.0211368677291004,0.0,1.0,1.0,1.0,1.0
54,0.8546610041098162,1.028004501805161,0.0,1.0,1.0,1.0,1.0
