Epoch,Training Loss,Validation Loss,Alpha
1,1.8133560438488805,1.622922835793606,1.0
2,0.5773113852323488,0.35982538995354674,1.0
3,0.34725496290728103,0.26047091251888943,1.0
4,0.23039084163516066,0.24942181508901506,1.0
5,0.1883964163706053,0.14407592182762402,1.0
6,0.14618274152798708,0.14646584512882455,1.0
7,0.12613783208436743,0.5284020371215288,1.0
8,0.12435399595388147,0.13524645409698402,1.0
9,0.09871677255128013,0.16028546395516674,1.0
10,0.08697075169143635,0.20495870604591315,1.0
11,0.0804170447683265,0.04334003592321519,1.0
12,0.061863475872290345,0.13567324515951928,1.0
13,0.07135689908118789,0.050993176110272924,1.0
14,0.046100360929402846,0.7006918911627212,1.0
15,0.05750723936443412,0.3760212244855803,1.0
16,0.05269532361565981,0.055850777287729254,1.0
17,0.044891965273377854,0.05816122973554356,1.0
18,0.04906345152317784,0.04779848980874386,1.0
19,0.04271850536420378,0.03725458737002513,1.0
20,0.029635493880744244,0.04463174507552541,1.0
21,0.03681633263057488,0.03554067801613751,1.0
22,0.047904310903923455,0.3366468864991221,1.0
23,0.05694312845995693,0.030990977251501538,1.0
24,0.03914370392016027,0.0579515298774336,1.0
25,0.03638267779213831,0.03630219444803092,1.0
26,0.027751401089521687,0.04631980680061916,1.0
27,0.029277395778931244,0.06816223553371031,1.0
28,0.03888130592111888,0.09527588003737375,1.0
29,0.02910920226442909,0.05181099775593814,1.0
30,0.038424769776256015,0.027897746420227163,1.0
31,0.021825736735644207,0.030674706992888174,1.0
32,0.02254983893498172,0.03713920025343108,1.0
33,0.025575152582145124,0.03565059618450441,1.0
34,0.032086975220049364,0.2788636137428152,1.0
35,0.026222154385881324,0.036100812834047244,1.0
36,0.024596679361461295,0.0414201385685416,1.0
37,0.02899461548943289,0.02812092079421259,1.0
38,0.02687774714648312,0.05233373297554397,1.0
39,0.023086132219082914,0.047986446175017655,1.0
40,0.032332068892076696,0.036172572586977814,1.0
41,0.0285103005404465,0.029080814332701266,1.0
42,0.009688259662686695,0.02390699067219366,1.0
43,0.006627107946050548,0.02194361623514851,1.0
44,0.007148677507042478,0.02184528384881729,1.0
45,0.006103376842639951,0.02179456895681269,1.0
46,0.005006337903242363,0.02061671981084865,1.0
47,0.0060460353678134324,0.021232461163239097,1.0
48,0.0057469347032290605,0.02075699211768657,1.0
49,0.004245576003449969,0.022386194104602023,1.0
50,0.0043361068424717306,0.021102661847480914,1.0
51,0.005766164239964362,0.024014478305341685,1.0
52,0.003923514839681407,0.02172612397955036,1.0
53,0.004785493873181579,0.02347191549236223,1.0
54,0.00434328271296054,0.02543386918796598,1.0
55,0.0055921008411576965,0.024966692360297645,1.0
56,0.0029043543348792767,0.024980571722885224,1.0
57,0.004254140981441217,0.024776474926782317,1.0
58,0.0032234197272140762,0.02357472780612054,1.0
59,0.003208708519733316,0.024518103452803273,1.0
60,0.002689589562536174,0.023819338711570687,1.0
61,0.0024310308487254717,0.024031065835447937,1.0
62,0.0023184141334854228,0.02279422255328956,1.0
63,0.002589050495217359,0.0244723639238907,1.0
64,0.0030095674573690197,0.02549405202168156,1.0
65,0.0026128077874471825,0.02410852301772836,1.0
66,0.0023283467172891398,0.024561651100946113,1.0
