Epoch,Training Loss,Validation Loss,Alpha
1,1.8524378449417824,1.0613199156384134,0.0
2,0.578363948298055,0.5440068071664765,0.0
3,0.3399935574379078,0.19218136358053184,0.0
4,0.2280513354772052,0.18939450140609299,0.0
5,0.1711660851312931,0.14305641182460063,0.0
6,0.1274086683468763,0.1461253481029078,0.0
7,0.12008898380364097,0.2964521264094253,0.0
8,0.1085925307839589,0.08863325544827899,0.0
9,0.1081972794195767,0.2168565674403379,0.0
10,0.0779368027373282,0.04400661249190222,0.0
11,0.07502314994371562,0.10026451300743014,0.0
12,0.07186856871080953,0.05847462317039973,0.0
13,0.06580032259875605,0.059144982499568614,0.0
14,0.05560633235849267,0.07914382519936838,0.0
15,0.0597322630771804,0.03832876581568704,0.0
16,0.059779335421964876,0.16359850215010865,0.0
17,0.06683743509658893,0.04400428601508137,0.0
18,0.051420297683758096,0.04443069246467636,0.0
19,0.048207414344083085,0.04127267626666486,0.0
20,0.05232474671915,0.03621731513385596,0.0
21,0.030499454299637744,0.03341157081033385,0.0
22,0.03880075085745734,0.051802584673629984,0.0
23,0.05936196065497,0.04031016336439914,0.0
24,0.05123491821117526,0.03511952205674809,0.0
25,0.035344183885189166,0.02815164352095751,0.0
26,0.022150588784702555,0.031612483015876845,0.0
27,0.04336745715727163,0.09285568597206716,0.0
28,0.038410015778377826,0.034011805139151724,0.0
29,0.024903637140604864,0.034818279207413365,0.0
30,0.03469958009528602,0.027616408118926704,0.0
31,0.028599330562242675,0.0362687402235298,0.0
32,0.034821224970496695,0.05207392722341167,0.0
33,0.03148742960332784,0.03474885593855423,0.0
34,0.03459207032005801,0.034809028289854785,0.0
35,0.03340371791056769,0.04119980664907543,0.0
36,0.01572005770894764,0.02548792070727274,0.0
37,0.017653489725658843,0.02743054489425091,0.0
38,0.012105030430951914,0.0344378872938335,0.0
39,0.041923661021039234,0.05094059121654217,0.0
40,0.02294108823217928,0.024233436141959067,0.0
41,0.023324612396780055,0.02664140594524513,0.0
42,0.017795393208439765,0.031103001234323316,0.0
43,0.04469633273899468,0.9058798669209314,0.0
44,0.029745493214821096,0.02940854418265253,0.0
45,0.01129930999615977,0.02567770523732348,0.0
46,0.0131214549536898,0.02461737539117674,0.0
47,0.019396989674816383,0.037255125190334415,0.0
48,0.038464286525836645,0.040646225358846835,0.0
49,0.038863374206215835,0.02914127039054387,0.0
50,0.016385599246470605,0.026835645185573687,0.0
51,0.010160923501927417,0.022275861458175037,0.0
52,0.014033997197788436,0.03054744289232943,0.0
53,0.013630673358742105,0.029694653895362428,0.0
54,0.012610307116864174,0.03130751695519203,0.0
55,0.01464597348500785,0.03109114302427516,0.0
56,0.015386333141061694,0.03075430989883052,0.0
57,0.02918009519628466,0.0418342730363081,0.0
58,0.026251285759864785,0.06631500607053208,0.0
59,0.025900749193279744,0.036155832130976326,0.0
60,0.01580608690399162,0.027282111174332217,0.0
61,0.018640276557612936,0.03660480457867041,0.0
62,0.017667019896163216,0.03232124957625232,0.0
63,0.006985579882877024,0.02710710813035951,0.0
64,0.005258885405529263,0.025990432073112336,0.0
65,0.005183382862640766,0.02512416829122442,0.0
66,0.005008722027306185,0.027518999059040736,0.0
67,0.0038757009620556263,0.026689176960031164,0.0
68,0.005141161591170605,0.02668533860189179,0.0
69,0.003576742467009544,0.025223329301589666,0.0
70,0.003466158874568443,0.025171472100020426,0.0
71,0.004092670017602951,0.027633825392331345,0.0
