Epoch,Training Loss,Validation Loss,Alpha
1,2.880899167809811,2.2281589233438384,0.5
2,2.163478867545802,1.8975205895788383,0.5
3,1.9618957860307544,1.8262583323174122,0.5
4,1.8353971717245292,1.8112836015162044,0.5
5,1.7462104421635574,1.65373713058951,0.5
6,1.6647102196179135,1.5259918217883683,0.5
7,1.6149101332220108,1.4731200278117396,0.5
8,1.5738528704768076,1.4382482436314927,0.5
9,1.5196825028714085,1.4392991977212317,0.5
10,1.4864681241399955,1.4461419813295933,0.5
11,1.4500326645311885,1.3881435509751605,0.5
12,1.421492481106863,1.3546426948452495,0.5
13,1.4099682035870578,1.2941300847143402,0.5
14,1.383915690539395,1.2641307596136762,0.5
15,1.3528707273967604,1.3337050042851433,0.5
16,1.3397071904536941,1.2517850321000783,0.5
17,1.2969009314532056,1.3007687842034545,0.5
18,1.2881494108294942,1.4759071032414262,0.5
19,1.2854200448665318,1.3293400082288611,0.5
20,1.2530831697723628,1.2161833515966125,0.5
21,1.2414722985622146,1.1714311987941801,0.5
22,1.22278516080367,1.1837068499694945,0.5
23,1.1892704102381362,1.305483333415386,0.5
24,1.1699360069180034,1.204170900177581,0.5
25,1.1651484828968948,1.12816494812516,0.5
26,1.1447352049238395,1.1527871297604126,0.5
27,1.1215352606398896,1.1312331218682035,0.5
28,1.1008001374012513,1.2210706878082915,0.5
29,1.100608437161171,1.059492320602477,0.5
30,1.0584441741723665,1.041683219490251,0.5
31,1.049008704916969,1.0458552715666007,0.5
32,1.0420274712652435,1.1443870690168512,0.5
33,1.0139842451554943,1.1929489257135941,0.5
34,1.0004787376413795,1.0894838878933673,0.5
35,0.9787604964840475,1.0821616247062285,0.5
36,0.9286656183097999,1.0974446953279187,0.5
37,0.9400555577265655,1.1090573721531174,0.5
38,0.909327980423473,1.1308635073806603,0.5
39,0.8835039159078248,0.9840806526819449,0.5
40,0.8607379266728905,0.9854396750165529,0.5
41,0.8412362825496035,1.1945452629271602,0.5
42,0.8271823726711472,0.9989865189759519,0.5
43,0.7968344485572495,1.0357682592581705,0.5
44,0.7786883338895768,1.0766203776392014,0.5
45,0.7648821226589343,1.0489222543089802,0.5
46,0.7431242199156297,0.9848540295793123,0.5
47,0.7357059055597994,1.0085143460965282,0.5
48,0.7280101974285086,0.957877157090222,0.5
49,0.6767895727257454,1.1385189962636737,0.5
50,0.6674409669419233,1.286771872592846,0.5
51,0.6385424385988275,1.126604136528145,0.5
52,0.6289012347840514,1.0819227455174112,0.5
53,0.618488818875158,1.0938608727530035,0.5
54,0.59692227559564,1.2146039728406837,0.5
55,0.562681488341686,1.065533322189491,0.5
56,0.5494907975820971,1.138034559669295,0.5
57,0.5190471394367867,1.041022702193385,0.5
58,0.5089842418881612,1.124205251950868,0.5
59,0.4615543572066342,1.0472365191781707,0.5
60,0.3515133331505416,0.9764156130908047,0.5
61,0.31586504844626834,0.9837278547399331,0.5
62,0.29774767115556133,0.9955558031017243,0.5
63,0.29238989215870803,0.9979489603279773,0.5
64,0.2810209503114536,0.994762265557394,0.5
65,0.2832687139043009,0.9965110527283234,0.5
66,0.2553613147654458,1.0131523685617596,0.5
67,0.2610258658596982,1.030784977980309,0.5
68,0.25247618329774646,1.012628855661572,0.5
