                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0228,                  2.326,                 1.6696,                 1.2536,                0.89111,                0.75912,                0.79733,                0.61794,                0.87985,                0.74516,                0.76381,                0.54322,                0.92021,                  1.702,                0.87138,                 1.1063,              0.0033295,              0.0033295,              0.0033295
                      2,                0.88946,                 1.8201,                0.86785,                   1.15,                0.87805,                0.75138,                 0.7893,                 0.6058,                  0.858,                0.73234,                0.75814,                 0.5345,                0.96372,                 1.8278,                0.88889,                 1.1452,              0.0065969,              0.0065969,              0.0065969
                      3,                0.93672,                 1.8682,                 0.8871,                 1.1743,                 0.8553,                0.72363,                0.75879,                0.56785,                0.83269,                0.70718,                0.72587,                0.48819,                 1.0409,                 2.1672,                 1.1088,                 1.2136,              0.0097983,              0.0097983,              0.0097983
                      4,                0.96633,                 1.9105,                0.91378,                  1.198,                0.88098,                0.77837,                0.81323,                0.61756,                0.85633,                0.75263,                 0.7655,                0.54615,                0.95329,                 1.6845,                0.84999,                 1.1273,               0.009703,               0.009703,               0.009703
                      5,                0.91217,                 1.8045,                0.83829,                 1.1672,                0.89781,                0.77488,                0.82401,                0.64133,                0.87205,                0.75175,                0.78503,                0.56348,                0.89197,                 1.5758,                0.81205,                 1.0871,               0.009703,               0.009703,               0.009703
                      6,                0.87715,                 1.7352,                0.78592,                 1.1481,                  0.896,                0.79183,                0.82851,                0.66052,                0.87051,                 0.7686,                0.79228,                0.57644,                0.84735,                 1.4989,                0.75414,                 1.0477,               0.009604,               0.009604,               0.009604
                      7,                0.83184,                 1.6452,                0.73709,                 1.1229,                0.89337,                0.80682,                0.83037,                0.66533,                0.86544,                0.78152,                0.79749,                0.59166,                0.81375,                 1.3918,                0.72942,                 1.0287,               0.009505,               0.009505,               0.009505
                      8,                0.81325,                 1.6026,                0.70937,                  1.112,                0.90105,                0.81717,                0.85134,                0.68887,                0.88485,                0.80058,                0.82078,                0.61515,                0.76618,                 1.3375,                0.66531,                0.99353,               0.009406,               0.009406,               0.009406
                      9,                0.78912,                 1.5484,                0.68185,                 1.0982,                0.90563,                0.82542,                0.85509,                0.70279,                0.88879,                0.80831,                0.82577,                0.62868,                0.77254,                 1.3156,                0.62925,                 1.0034,               0.009307,               0.009307,               0.009307
                     10,                0.76767,                 1.5055,                0.66259,                 1.0884,                0.91818,                0.82045,                0.85713,                0.70501,                0.89843,                0.79847,                0.82735,                0.63404,                0.73999,                 1.2815,                 0.6164,                0.97579,               0.009208,               0.009208,               0.009208
                     11,                0.75629,                 1.4718,                0.64672,                 1.0819,                0.90413,                0.82906,                0.85678,                0.71265,                0.88279,                0.80868,                0.82478,                0.62836,                0.71581,                  1.227,                0.60676,                0.96254,               0.009109,               0.009109,               0.009109
                     12,                0.73971,                 1.4638,                0.62652,                 1.0721,                0.88915,                0.83789,                0.85468,                0.71596,                0.86647,                0.81328,                0.81925,                0.62973,                0.71015,                 1.2214,                0.59854,                0.95539,                0.00901,                0.00901,                0.00901
                     13,                0.73252,                 1.4365,                 0.6177,                 1.0645,                0.92506,                0.82134,                0.86428,                 0.7238,                0.87289,                  0.811,                0.82128,                0.63665,                0.70357,                 1.1735,                0.56988,                0.96124,               0.008911,               0.008911,               0.008911
                     14,                0.72602,                 1.4232,                0.61546,                 1.0627,                0.91949,                0.83703,                0.86844,                0.72443,                0.89538,                0.81362,                0.83331,                0.64796,                0.69127,                 1.1761,                0.56147,                0.94593,               0.008812,               0.008812,               0.008812
                     15,                0.70945,                 1.3986,                0.59998,                  1.054,                0.92203,                 0.8404,                0.86868,                0.73395,                0.90255,                0.81024,                0.83499,                0.65364,                0.67017,                 1.1474,                0.54358,                0.93266,               0.008713,               0.008713,               0.008713
                     16,                0.69549,                  1.378,                0.58511,                 1.0466,                0.91016,                0.84115,                0.87243,                0.74097,                 0.8924,                0.81766,                0.83619,                0.65323,                0.64341,                 1.1262,                 0.5308,                0.91292,               0.008614,               0.008614,               0.008614
                     17,                0.69196,                 1.3549,                0.57881,                 1.0452,                0.92018,                0.84038,                0.86868,                0.74216,                0.89289,                0.82294,                0.83506,                0.65452,                0.64148,                 1.0983,                0.50741,                0.91416,               0.008515,               0.008515,               0.008515
                     18,                 0.6769,                 1.3254,                0.56494,                 1.0353,                0.92814,                0.83578,                0.87177,                0.74449,                0.90267,                 0.8184,                0.83986,                0.65989,                0.64243,                 1.0897,                0.52958,                0.92267,               0.008416,               0.008416,               0.008416
                     19,                0.67082,                 1.3157,                0.55823,                 1.0334,                0.92539,                0.84931,                0.87161,                0.75462,                 0.8955,                0.82275,                0.83825,                0.66694,                0.61778,                 1.0806,                0.49783,                0.90485,               0.008317,               0.008317,               0.008317
                     20,                0.66034,                 1.3062,                0.55152,                 1.0288,                0.91315,                0.84441,                0.87215,                0.74959,                 0.8808,                0.83123,                0.84129,                0.66713,                0.60732,                 1.0434,                0.51792,                0.89703,               0.008218,               0.008218,               0.008218
                     21,                0.65471,                 1.2925,                0.54587,                 1.0252,                0.93287,                0.85348,                 0.8779,                0.75788,                0.91253,                0.82616,                0.84703,                 0.6732,                0.59818,                 1.0392,                0.47338,                0.88802,               0.008119,               0.008119,               0.008119
                     22,                0.64976,                 1.2641,                0.53848,                 1.0213,                0.92759,                0.85025,                0.87512,                0.75588,                0.90271,                0.83144,                0.84216,                0.66811,                0.58426,                 1.0257,                0.49056,                0.87938,                0.00802,                0.00802,                0.00802
