Epoch,Training Loss,Validation Loss,Alpha
1,5.053929219927107,4.390086487361363,0.5
2,4.119964102336339,4.234925331388201,0.5
3,3.5330667563847133,3.1272025448935374,0.5
4,3.1357879229954313,2.7427596024104526,0.5
5,2.8377598353794644,2.464269232749939,0.5
6,2.4917727266039167,2.272735330036708,0.5
7,2.187537247794015,1.860186335018703,0.5
8,1.9117725133895873,1.55367283310209,0.5
9,1.6558242048536027,1.1490050196647643,0.5
10,1.4633929422923497,1.1380842907088144,0.5
11,1.3842676860945566,0.8253782646996635,0.5
12,1.1579048616545542,0.8393612912722996,0.5
13,1.0916787607329232,1.0913851976394653,0.5
14,1.0237908465521677,0.6456912534577506,0.5
15,0.9126391989844186,0.6066588018621717,0.5
16,0.8918522443090167,0.6228819736412593,0.5
17,0.8870811530521938,0.5990159724439893,0.5
18,0.7884947844914028,0.5781473125730242,0.5
19,0.7482961765357427,0.4535669454506465,0.5
20,0.7358201154640742,0.5498420183147703,0.5
21,0.7547365469591958,0.4589251965284348,0.5
22,0.6392154506274632,0.3967178536312921,0.5
23,0.6023455211094447,0.45886356639010567,0.5
24,0.5861948771136147,0.3634869739413261,0.5
25,0.5867539695331029,0.33561484600816455,0.5
26,0.5512493814740862,0.30711530117051944,0.5
27,0.4619535803794861,0.2677785975592477,0.5
28,0.44133991939680917,0.30288909482104437,0.5
29,0.4570961322103228,0.2188244566321373,0.5
30,0.46115994240556446,0.26996021121740343,0.5
31,0.3904710386480604,0.2390236335141318,0.5
32,0.4185788929462433,0.2172950013407639,0.5
33,0.3416807459933417,0.2329846696129867,0.5
34,0.3806762567588261,0.3030317916401795,0.5
35,0.3713053469147001,0.20222119795424598,0.5
36,0.3713213350091662,0.20072112487895147,0.5
37,0.3587537522826876,0.21768486803131445,0.5
38,0.33712911286524366,0.1866343325802258,0.5
39,0.3673624179192952,0.227429454347917,0.5
40,0.3715072831937245,0.22472546111260142,0.5
41,0.39707940433706557,0.19472648235304016,0.5
42,0.30247665899140497,0.23166621827653477,0.5
43,0.2679312925253596,0.21432521641254426,0.5
44,0.36910086423158645,0.2909551751400743,0.5
45,0.2787064118044717,0.14674170879381043,0.5
46,0.2703376250607627,0.18701240606606007,0.5
47,0.3819031574896404,0.20802182549876827,0.5
48,0.2960087550537927,0.19692536456776516,0.5
49,0.2732278383203915,0.11920797971210309,0.5
50,0.24103671546493258,0.20185080410114356,0.5
51,0.24231106979506356,0.17802436737609761,0.5
52,0.23757181114384107,0.15990285107067653,0.5
53,0.2639731398650578,0.18759780430368014,0.5
54,0.25952543861099653,0.17188006902911834,0.5
55,0.28937635251453947,0.18927442958312377,0.5
56,0.25126007167356357,0.18127733963940826,0.5
57,0.28049584925174714,0.1729671472949641,0.5
58,0.2207250798387187,0.1624990777777774,0.5
59,0.1908435065831457,0.14677146915346384,0.5
60,0.20793830518211637,0.15613716255341256,0.5
61,0.13940956028444426,0.11572290286421776,0.5
62,0.13965774146573884,0.10464563207434756,0.5
63,0.11785012845482146,0.0963023157258119,0.5
64,0.13064455198390143,0.08755015272514097,0.5
65,0.09043938831559249,0.08728845420160464,0.5
66,0.12867468957390105,0.09246605731812971,0.5
67,0.109097767035876,0.09440903112824474,0.5
68,0.08116392173937388,0.09230182401037641,0.5
69,0.09315825259046895,0.09388850667913046,0.5
70,0.07089194575590747,0.08860779479146004,0.5
71,0.07208360838038581,0.09337574016036732,0.5
72,0.10298275074788503,0.08939598903193005,0.5
73,0.08894718539501939,0.09980269197507628,0.5
74,0.10065771133771964,0.09930158806299524,0.5
75,0.06708909698895045,0.09827853703339184,0.5
76,0.0864241475239396,0.09268753195979766,0.5
77,0.0786695406373058,0.09315564156776028,0.5
78,0.0827476374006697,0.09810987986358148,0.5
79,0.06368874976677553,0.09315946678231869,0.5
80,0.053628549219242164,0.09255490897090307,0.5
81,0.07211160989744322,0.09569803584766175,0.5
82,0.05255529593144145,0.09724702696049851,0.5
83,0.0763575941324234,0.09203982518852821,0.5
84,0.054647498338350226,0.09235158720319825,0.5
85,0.07762305784438338,0.09319437110264386,0.5
