Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,2.4568312301192172,2.927044981579448,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
2,1.2838337984195975,2.076757243622181,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
3,0.9096356351708257,0.6939219377761663,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
4,0.6929981647535812,0.8456141675627509,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
5,0.6088582355615705,0.6761827828579171,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
6,0.5014980641908424,0.5852138828399569,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
7,0.4735521690443505,0.8833918790484584,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
8,0.3798719391573307,0.3621746744527373,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
9,0.33496092772761055,0.33152376406414563,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
10,0.296598424104064,0.5185321774940158,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
11,0.31003229347772376,0.29444538722204605,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
12,0.2561454160442186,0.5072199125969132,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
13,0.25459885165788404,0.2804978151220915,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
14,0.2296218174141507,0.4525794593574003,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
15,0.1852543945662504,0.34892761559160645,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
16,0.20986440745723803,0.21050060279234203,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
17,0.1685147548397613,0.7558869838714599,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
18,0.1618704445226941,0.31062714720014917,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
19,0.13942530821835578,0.17939144901411477,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
20,0.1254511138023592,0.3560953184962273,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
21,0.14748512604815323,0.8011917642036149,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
22,0.12399034757860178,0.21487634189773439,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
23,0.10964266305875986,0.2794828181826445,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
24,0.12365971627147045,0.33124414101502925,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
25,0.14961013254644565,0.2246944726163218,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
26,0.12058912900514727,0.17469322990604438,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
27,0.08778954503927813,0.1840516371684972,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
28,0.08462357204190867,0.14219969927690662,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
29,0.08481515765211783,0.2027472823262648,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
30,0.12697203486811284,0.2526558128467133,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
31,0.0870794711645346,0.1388683595651284,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
32,0.0590460350715317,0.16716692823873355,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
33,0.08484691697887556,0.13941919561854543,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
34,0.05608417227333628,0.5615485188572906,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
35,0.0854862204871985,0.15671490738872265,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
36,0.06807436598681434,0.20563042429465325,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
37,0.07001716530567771,0.2309950129302262,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
38,0.05318462405689494,0.148733467548046,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
39,0.06842508679905603,0.3752788126382024,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
40,0.08822143687433455,0.26451733724842236,0.5,0.22313016653060913,0.3678794801235199,0.6065306663513184,1.0
