Epoch,Training Loss,Validation Loss,Alpha,Lambda Weight Lvl 1,Lambda Weight Lvl 2,Lambda Weight Lvl 3,Lambda Weight Lvl 4
1,2.8996819933788887,4.354319610851723,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
2,2.1719464811702704,2.063535706308864,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
3,2.0180706229785943,1.7847329986175435,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
4,1.8799120363773116,2.14886189507158,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
5,1.8096220817341901,2.9490165522434566,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
6,1.7611320302790443,1.689009827055387,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
7,1.6704673931102625,2.038925030887527,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
8,1.6385755648949003,1.6412856296804927,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
9,1.593447985265079,2.397415707975426,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
10,1.5565775110817595,2.140869697868424,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
11,1.5124675655525002,1.6663181535749627,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
12,1.4452603741380192,1.4838708399126195,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
13,1.391055063713317,1.7313234524038814,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
14,1.3871921838929988,1.398570318350056,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
15,1.3391592260575134,1.4739311459480515,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
16,1.3082646753563978,1.816278375635211,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
17,1.2714699002720367,1.356612565933458,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
18,1.2144947322022994,1.591746253655261,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
19,1.170618547089148,1.4636215893614213,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
20,1.1382503294504729,1.3879334998610835,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
21,1.1060958559681104,2.265398534152332,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
22,1.0525277853012085,2.4596683881026786,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
23,1.0305732222611472,1.4932058019526053,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
24,1.00517650898671,1.4625662729244104,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
25,0.9172892208467394,1.5747576228924245,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
26,0.8348735408894967,1.2865428663540206,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
27,0.8265737328153329,1.8207771520086582,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
28,0.8164333712134585,1.4455825827465763,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
29,0.7553198758587741,1.5750898843843666,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
30,0.7375243344162935,1.3332710332118425,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
31,0.6693466856775668,1.6078075328529282,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
32,0.5978238387595887,1.9268508623510399,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
33,0.6029143362937358,1.7660916646654974,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
34,0.592351691134824,1.4234680882436317,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
35,0.525754372895564,1.8856203978093677,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
36,0.468870941824561,1.7540468536567368,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
37,0.47037483461751234,2.2289724776008786,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
38,0.31202699921575167,1.4021429557028233,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
39,0.22650009518701758,1.4820603746295775,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
40,0.19303528498233163,1.4827767857569176,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
41,0.17346422072975026,1.5378796844274405,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
42,0.15739878797716142,1.5608118350973865,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
43,0.13852883289699386,1.6405722349882126,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
44,0.1329395337305313,1.6782759110499548,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
45,0.11063944926522923,1.6710320655631539,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
46,0.11345010824601522,1.7466827824011746,0.20000000298023224,0.5488116145133972,0.6703200340270996,0.8187307715415955,1.0
