                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1638,                 2.6329,                 2.7331,                 1.2964,                0.75633,                0.61998,                0.65973,                0.47111,                0.74148,                0.60602,                0.62757,                0.41432,                 1.1382,                  2.211,                 1.7535,                 1.2554,              0.0033295,              0.0033295,              0.0033295
                      2,                   1.04,                 2.1279,                 1.5848,                 1.2159,                0.84571,                0.71661,                 0.7475,                 0.5296,                 0.8263,                 0.6953,                0.70637,                0.47352,                 1.1147,                  2.022,                 1.4807,                 1.2148,              0.0065969,              0.0065969,              0.0065969
                      3,                  1.063,                 2.1104,                 1.4155,                 1.2207,                0.83743,                0.69838,                0.74609,                0.52219,                0.82153,                0.67223,                0.70292,                0.47036,                 1.1921,                 2.0188,                 1.3561,                 1.3088,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.0702,                 2.1129,                 1.2392,                 1.2227,                0.82917,                0.73299,                0.77997,                0.56703,                0.83174,                0.69861,                0.74241,                0.51205,                 1.1021,                 1.8798,                 1.0801,                 1.2273,               0.009703,               0.009703,               0.009703
                      5,                 1.0202,                 2.0206,                 1.0776,                 1.1981,                0.88616,                0.75835,                0.79837,                0.59056,                0.85883,                0.73656,                0.76207,                0.52578,                 1.0306,                 1.7905,                 1.0165,                 1.1645,               0.009703,               0.009703,               0.009703
                      6,                0.97941,                 1.9405,                0.97733,                  1.169,                0.88303,                0.74532,                0.80382,                0.60934,                0.86674,                0.72932,                0.76998,                0.54696,                0.99069,                 1.7591,                0.95971,                  1.136,               0.009604,               0.009604,               0.009604
                      7,                0.94587,                 1.8712,                0.90693,                 1.1536,                0.86134,                0.78839,                0.81516,                0.61388,                0.84658,                0.76434,                0.78065,                0.55544,                0.97185,                  1.585,                0.86755,                 1.1152,               0.009505,               0.009505,               0.009505
                      8,                0.92668,                 1.8396,                 0.8725,                 1.1425,                0.88741,                0.79663,                0.82981,                0.64405,                 0.8664,                0.77688,                0.79086,                0.57693,                0.92303,                 1.5397,                0.83679,                 1.0899,               0.009406,               0.009406,               0.009406
                      9,                0.89713,                 1.7695,                0.82838,                 1.1244,                0.89077,                0.79398,                0.82106,                0.63943,                0.87021,                0.77693,                0.78621,                0.57388,                0.88449,                 1.5754,                0.81075,                 1.0759,               0.009307,               0.009307,               0.009307
                     10,                0.88478,                 1.7435,                0.80929,                 1.1213,                0.90203,                0.79823,                0.83552,                0.65214,                0.87624,                0.77897,                0.79464,                0.58012,                0.86414,                 1.5255,                 0.7866,                 1.0562,               0.009208,               0.009208,               0.009208
                     11,                0.86263,                 1.7046,                0.77297,                 1.1072,                0.89284,                0.79991,                0.83986,                0.66234,                0.88284,                0.76732,                0.80061,                0.59399,                0.84592,                 1.4392,                0.75431,                 1.0465,               0.009109,               0.009109,               0.009109
                     12,                0.84484,                 1.6594,                0.75428,                 1.0983,                0.87175,                 0.8187,                0.84309,                0.67334,                0.84649,                0.79873,                0.80417,                0.58671,                0.84104,                 1.4483,                0.74511,                  1.045,                0.00901,                0.00901,                0.00901
